가게ID,가게명,업종,평점,날짜,리뷰내용
2007145517,고봉당 논현역점,한식,,,"친구들 데리고 왔어요~ 양념등갈비, 김치등갈비, 인절미떡구이, 백합탕, 코코넛새우튀김!! 전 메뉴가 넘넘 맛있어요!! 넷이서 바나나막걸리까지 진짜 맛나게 먹었습니당~ 직원분들도 넘 친절하시구요! 논현역 맛집, 신논현역 맛집으로 고봉당 굿굿입니당!! 다음에 또 올게요❤️"
2007145517,고봉당 논현역점,한식,,,친구랑 뭐먹을지 고민하다가 지나가면서 우연히 들어갔는데 개존맛집이에요 !!!!! 양도 많고 볶음밥이 진짜 미친놈입니다 … 브레이크 타임에 걸려서 다른 식당 못 들어 갔는데 여긴 브레이크 타임이 다른 곳 보다 늦어서 좋았어요 ㅠㅠ 완전 추천 맛집 👊🏻
2007145517,고봉당 논현역점,한식,,,통통한 직화 쭈꾸미의 맛을 느낄 수 있는 논현동 맛집 [고봉당논현역점]이랍니닷!! 매콤한 쭈꾸미와 크리스피한 인절미떡구이의 만남의 이색적이고 특별한 맛으로 울 고객님의 입맛을 사로잡는다죠옹!! 고봉당에는 맛난메뉴 한 가득 준비되어 있으니 언제든지 고봉당으로 놀러오시면 만족백배 느끼 실 수 있도록 친절함과 함께 대접해드리겠습니닷!! 감사합니다💗
2007145517,고봉당 논현역점,한식,,,한 번도 안 먹어본 사람은 있어도 한 번만 먹어본 사람은 없다는 고봉당의 시그니처메뉴들! 이미 hot해진 메뉴들이 다양하게 준비되어 있답니다>.<:: 레시피를 알려드리면 울 고객님 손에 물이 묻는데 알려드릴 수 없죠오오!! 고운 손 절대 지켜-! (남이 만든 음식이 제일 맛있어요🫶🏻힛) 친절한 서비스로 한 층더 업되는 맛으로 즐기시면서 언제 방문해주셔도 분위기 좋은 식사 시간으로 대접해드리겠습니다 감사합니다💗
2007145517,고봉당 논현역점,한식,,,혜화점 저장하고 가봐야지 생각하다 논현점에 생겨서 너무 반가운 마음에 바로 방문 했습니다 ㅎㅎ 먼저 종이로 웨이팅 적는 곳이예요 !가고 싶은 가게였는데 그 이상으로 너무너무 친절하게 응대해 주시고 잘 챙겨 주셔서 웨이팅한 시간이 아깝지 않고 기분 좋았어요! 서비스도 잘 챙겨 주시는데 맛이 진짜 최고 입니다! 보통맛 많이 안맵고 적당하고 떡이랑 조합이 너무 좋은데 떡구이 갈비찜 소스에 꼭 찍어 먹어 보세요!! 완전 강추 조합이예요
31476416,곰스603 논현본점,양식,,,"donkeyore님, 곰스603 논현본점입니다😄 테이블링 평점 보고 오셨는데 이유를 알겠다고 해주신 순간, 오늘 하루 신나게 시작 합니다✨ 회사 근처 맛집 발견하신 설렘이 전해져서 저희도 덩달아 기분이 좋네요! 굴라쉬가 너무 맛있었다는 칭찬은 주문 즉시 조리하는 저희 방식과 함께, 장시간 끓이며 깊은 풍미를 내는 쉽지 않은 조리법 덕분이라 자부합니다🍲 영양 가득한 채소와 부드러운 소고기를 듬뿍 넣어 건강함까지 담았어요🥩 점심시간에 매일 오고 싶다는 말씀에 괜히 어깨가 으쓱🙌 샐러드 메뉴도 알아봐 주신 센스에 감사드리고, 다음엔 팀원분들과 회식 하러 오시면 플래터와 하이볼 페어링으로 즐거움 두 배로 만들어 드릴게요🍹 언제든 맛과 분위기로 만족 드리는 신박한양식당 곰스가 되겠습니다!"
31476416,곰스603 논현본점,양식,,,"wkd****님, 곰스603 논현본점입니다 🍷 소중한 리뷰 남겨주셔서 감사드리며 “음식 종류도 많고 너무 맛있다”는 말씀에 활짝 웃었습니다 😆 이번에는 점심에 방문해주셨다고 하셨는데, 낮에는 스토리 있는 런치 메뉴로 가볍고 맛있게 즐기실 수 있도록 준비하고 있어 만족을 드린 것 같아 기쁩니다. 리뷰에 남기신 것 처럼 저녁에도 꼭 방문 해 주세요! 저녁시간의 곰스603은 또 다른 매력이 있어요 ✨ 따뜻한 조명과 분위기 속에서 스테이크와 플래터를 즐기며 35종 이상의 하이볼과 와인을 곁들일 수 있거든요. 곰스603은 다양한 고기 부위와 주류의 페어링을 연구해 합리적인 가격에 특별한 경험을 드리고자 늘 노력하고 있습니다 🥩 이번에 드신 비프스테이크&그릴드새우 플래터와 파스타 외에도 저녁에만 만날 수 있는 메뉴들이 기다리고 있으니 다음엔 꼭 하이볼과 함께 즐겨 보세요 🌿 재방문해주신다면 더 큰 만족을 드릴 수 있도록 최선을 다하겠습니다 🙌"
31476416,곰스603 논현본점,양식,,,"디테일한 표현 하나하나에 저희가 직접 식사를 대접 받는 기분이에요🙇‍♀️ “한입 베어무는 순간 바삭한 식감과 안심의 육즙”… 이 문장 너무 맛있어서 캡쳐해두고 싶었답니다📸 매장에서 매일 손으로 만드는 수제 커틀렛은 고기 본연의 풍미를 살리기 위해 잡육 없이 정직하게 만드는 게 저희만의 원칙이에요! 게다가 고소한 소스, 계란후라이🍳, 신선한 샐러드🥗까지 완벽하게 조합된 플레이트를 제대로 느껴주셔서 정말 감사합니다. 곰스603은 “단순한 한 끼”를 넘어 “오감이 반응하는 식사”를 꿈꾸는 곳이에요! 재방문하실 땐 다른 시그니처 플래터도 도전해보시면 분명 또 한 번 감탄하실 거예요😉 다음에도 즐거운 식사와 따뜻한 경험으로 만나 뵙겠습니다💛"
31476416,곰스603 논현본점,양식,,,"안녕하세요 Writer47님, 곰스603 논현본점입니다! 예약까지 해주시고 첫 방문을 소중한 리뷰로 남겨주셔서 정말 감사드려요🙌 “칸막이 테이블도 있어서 좋다”는 말씀에 공간도 음식만큼 만족 드린 것 같아 다행이에요😊 특히 투움바 파스타에 시원한 생맥주의 조합이라니.. 맛잘알 조합 제대로 아셨네요!🍤🍺 연어 샐러드의 상큼함까지 즐겨주셨다니 곰스의 페어링 철학을 찐 하게 즐겨주신 센스에 저희 감동 받았습니다✨ 곰스603은 음식 하나하나에 스토리를 담고, 고기부터 파스타까지 주류와 어울리도록 연구된 메뉴로 준비하고 있어요. 다음 방문 땐 또 어떤 조합을 시도해보실지 저희도 궁금해지네요😉 분위기, 음악, 맛 삼 박자 다 만족하셨다니 진심으로 기쁘고, 앞으로도 그 기대에 걸맞게 준비하겠습니다!💜"
31476416,곰스603 논현본점,양식,,,"안녕하세요 daytimedrinking님, 곰스603 논현본점입니다! “퇴근길에 들르기 딱”이라는 말씀, 저희가 가장 듣고 싶었던 찬사예요 🙌 직장 생활의 고단함을 살짝 내려놓을 수 있는 시간, 그 곁에 곰스603이 있었다니 더없이 뿌듯합니다. 다채로운 주류 라인업과 함께, 직접 손질한 고기와 수제 메뉴로 구성된 캐주얼한 플래터는 저희 매장의 시그니처 메뉴랍니다 🍖🦐 특히 플래터와 파스타 모두 위스키·와인·하이볼과의 페어링을 고려해 개발되어, 술 한 잔과 가장 잘 어울리는 궁합을 자랑해요 🍷 아늑한 분위기 속에서 술맛이 난다는 말씀이 괜히 나오는 게 아니랍니다! 곰스603은 퇴근길에도, 약속이 없는 날에도 언제든 가볍게 들를 수 있는 도심 속 작은 아지트를 지향하고 있어요 🌃 다음에도 “맛있게 잘 먹었다”는 말 들을 수 있도록 더 재밌는 메뉴와 구성으로 준비해둘게요! 또 뵙기를 기대하고 있겠습니다 😊"
31476416,곰스603 논현본점,양식,,,"안녕하세요 goa****님😄 곰스603 논현본점입니다! “친목도모 기념”이라는 시작부터 이미 센스 폭발인데요💥사진을 저 테이블 합석해서 시원하게 한잔 하고 싶은 충동이 ㅎㅎ😂 플래터에 하이볼까지 완벽한 조합으로 주문해주신 덕분에, 곰스의 진짜 매력을 제대로 경험해주신 것 같아 너무 기뻐요💯 곰스는 각 메뉴의 풍미를 극대화할 수 있도록 고기플래터에 4가지 소스를 세팅 해 드리는데요 goa님처럼 취향껏 찍어 즐겨주신 분들 덕분에 그 노력도 빛을 봅니다✨ 매장 분위기부터 친절함까지 꼼꼼히 챙겨주신 정성 어린 리뷰에 저희도 더 큰 힘을 얻었습니다🙌 다음에도 친구분들과 함께 또 오셔서 오늘보다 더 풍성한 식사 시간 만들어보세요! 저희가 고기와 분위기 제대로 챙겨두겠습니다🥩🫶"
31476416,곰스603 논현본점,양식,,,"안녕하세요 gooddaynight님🌙 곰스603 논현본점입니다! “왜 이제야 방문한 거죠?”라는 한 줄에 저희 심장도 같이 두근💘 버터굴라쉬비프스튜의 매력에 빠지신 것 같아 뿌듯함 만렙입니다! 진한 스튜를 따뜻한 빵에 쓱- 찍어 드시는 그 장면, 리뷰만 읽어도 먹고 싶어지는 마성의 조합이에요🥖🍖 소고기플래터도 즐겨주셔서 감사합니다! 곰스603은 다양한 고기 부위를 활용해 각각의 육즙과 풍미가 살아나도록 그릴링과 소스 매칭을 디테일하게 조율하고 있어요🔥 고기 먹을 땐 다양하게 찍어먹는 재미도 놓칠 수 없죠! gooddaynight님처럼 미각 탐험에 진심인 분께 최고의 무대가 되길 바라는 마음으로, 오늘도 주방에서 열심히 굽고 있습니다😎 분위기 칭찬도 잊지 않으신 센스... ""불은 저희가 탈게요, 분위기는 손님이 타세요""라는 네온사인 아래에서 그 말이 딱 어울리는 분이 오셨네요✨ 앞으로도 고기와 주류페어링의 무한 루프 즐겨주세요!또 뵙고싶습니다🙌"
31476416,곰스603 논현본점,양식,,,"안녕하세요 happy jelly님, 곰스603 논현본점입니다🍽️ 회사 동료분의 센스 넘치는 추천 덕분에 저희와 인연 맺어주셔서 진심으로 감사드려요🙏 점심 맛집이라 칭찬해주시다니… 저희 감동해서 눈물 한 방울 흘릴지도 몰라요😭 특히 시그니처 메뉴의 맛과 양에 감탄해주신 부분은 저희가 매일 아침 손수 준비하는 정성의 결과라 더욱 뿌듯하답니다💪 곰스603은 언제나 ‘맛있는 음식과 술의 페어링’을 소중하게 생각하는 공간이에요🍷🍴 점심엔 빠르고 든든한 퀵 런치, 저녁엔 친구들과의 소소한 한 잔까지, 시간대에 따라 매력이 달라지는 다이닝펍이랍니다! 다음 방문 땐 추천해주신 동료분과 함께 다시 놀러 와주세요🎉 더 풍성한 메뉴와 유쾌한 서비스로 맞이할게요🙌 happy jelly님과의 만남, 저희에겐 이미 시그니처 순간입니다!"
31476416,곰스603 논현본점,양식,,,"안녕하세요 ths****님💕 곰스603 논현본점입니다! “지하철역에서 가깝고 매장 분위기며 노래도 너무 완벽해요!!” 이 첫 줄에 벌써 기분이 좋아져 버렸어요😆 정성 가득 남겨주신 리뷰에 저희도 진심으로 감동받았습니다! 특히 “다양하고 합리적인 가격, 사장님의 세심함이 느껴지는 요리”라고 해주신 부분은 곰스603이 가장 소중하게 여기는 운영 철학을 정확히 알아봐주신 말씀이어서 진짜 진짜 감동이에요🙇‍♀️ 곰스는 ‘누구나 편하게 맛있는 음식을 즐길 수 있어야 한다’는 마음으로, 재료 하나하나 정성 들여 준비하고 있거든요🍕📸동영상속 피자도 쭉쭉 늘어나는 치즈에 다들 반응 폭발하셨을 듯합니다! 데이트도 좋지만 “친구들이랑 또 오고 싶다”는 말씀까지… 그날의 행복한 분위기가 그대로 느껴져서 저희가 다 뿌듯했어요🍻 언제든 반가운 얼굴로 다시 찾아주세요! 신박한양식당 곰스가 변함없이 그 자리에 있겠습니다💖"
31476416,곰스603 논현본점,양식,,,"안녕하세요 wns님, 곰스603 논현본점입니다🍕 두 번째 방문이라니… 이건 진짜 찐! 인연이죠💚 “퀄리티도, 분위기도 다 챙긴 맛집”이라는 말에 저희 직원들 오늘 하루도 신나게 시작 할 수 있을 것 같아요😂 특히 강추해주신 디트로이트 피자는 도우를 철판에 구워 겉은 바삭! 속은 촉촉! 여기에 체다 치즈를 태우듯 구워낸 ‘엣지 크러스트’가 포인트랍니다🔥🍞 시칠리아 스타일피자의 매력을 그대로 담은 이 메뉴는 곰스603의 숨겨진 에이스예요! 또 샐러드에 들어간 다양한 곡물과 견과류, 신선한 채소까지… 재료 하나하나 아낌없이 준비하고 있답니다🌿 동네 맛집을 넘어서 ‘기억나는 맛집’으로 남고 싶었는데, wns님 덕분에 그 바람이 살짝 이뤄진 기분이에요😊 다음에도 또 다른 시그니처 메뉴들로 놀라운 한 상 펼쳐드릴게요! 진심 어린 리뷰에 다시 한 번 감사드립니다🙌"
31476416,곰스603 논현본점,양식,,,"안녕하세요 맛집 사냥님😆 곰스603 논현본점입니다! 리뷰를 읽는 순간, 직원 모두가 “와~” 하고 감탄했어요!✨ “요리는 메뉴판을 넘어섰고, 술은 분위기를 타지 않았다”는 문장은 저희 철학을 가장 아름답게 요약해주신 명문 중의 명문입니다👏👏 상세하게 적어주신 메뉴 구성도 그날의 생생한 테이블 풍경이 머릿속에 그려질 만큼 정성 가득했고, 특히 리코타 비앙카와 소고기플래터, 굴라쉬 스튜까지 완벽한 흐름으로 골라주신 센스에 진심으로 감동했답니다🍕🥩🍲 거기에 하이볼 1+1 혜택까지 싹 챙기신 구성력… 곰스를 제대로 즐기셨군요😎 음식은 ‘당일 준비, 당일 소진’ 원칙으로 신선하게, 분위기는 ‘회식도 데이트도 가능한 공간’을 기준으로 구성해둔 만큼, 맛집 사냥님의 리뷰는 마치 곰스603 사용 설명서 같았어요! “후보가 아니라 정답입니다”라는 결말에선 정말 박수와 소오름이🙇‍♀️맛집사냥님! 재방문 주시는 날에도 메뉴판 너머의 만족 드릴 수 있도록 최선을 다해 준비하고 있겠습니다💖"
